,IP,Date,count
0,64.242.88.10,08/Mar/2004,283
1,64.242.88.10,07/Mar/2004,169
2,10.0.0.153,10/Mar/2004,126
3,10.0.0.153,08/Mar/2004,66
4,10.0.0.153,11/Mar/2004,36
5,10.0.0.153,12/Mar/2004,32
6,207.195.59.160,09/Mar/2004,20
7,128.227.88.79,08/Mar/2004,14
8,212.92.37.62,08/Mar/2004,14
9,203.147.138.233,09/Mar/2004,13
10,195.246.13.119,09/Mar/2004,12
11,10.0.0.153,09/Mar/2004,10
12,142.27.64.35,10/Mar/2004,7
13,145.253.208.9,12/Mar/2004,7
14,194.151.73.43,11/Mar/2004,4
15,208.247.148.12,11/Mar/2004,4
16,61.165.64.6,12/Mar/2004,4
17,61.9.4.61,08/Mar/2004,3
18,67.131.107.5,12/Mar/2004,3
19,12.22.207.235,11/Mar/2004,1
20,195.11.231.210,12/Mar/2004,1
21,195.230.181.122,09/Mar/2004,1
22,20.222.33.33,09/Mar/2004,1
23,212.21.228.26,10/Mar/2004,1
24,213.181.81.4,08/Mar/2004,1
25,216.139.185.45,12/Mar/2004,1
26,219.95.17.51,08/Mar/2004,1
27,4.37.97.186,11/Mar/2004,1
28,64.246.94.141,10/Mar/2004,1
29,64.246.94.152,08/Mar/2004,1
30,66.213.206.2,08/Mar/2004,1
